nama_fasilitas,lokasi,keterangan
"Kamar Mandi","Dekat ruang tunggu pengunjung","Toilet tersedia untuk pengunjung pria dan wanita"
"Ruang Tunggu","Area depan layanan kunjungan","Disediakan kursi tunggu untuk pengunjung sebelum jadwal kunjungan"
Masjid,"Kantor Kemenag, sebelah timur lapas","Tempat ibadah bagi pengunjung berada di area kantor Kemenag"
"Area Parkir","Sebelah barat lapas","Tempat parkir motor dan mobil pengunjung"
"Loket Pendaftaran","Lobi layanan kunjungan","Digunakan untuk pendaftaran langsung dan verifikasi data"
"Ruang Pemeriksaan Barang","Samping loket pendaftaran","Area pemeriksaan barang bawaan pengunjung"
"Ruang Kunjungan","Area dalam lapas","Tempat berlangsungnya kunjungan sesuai jadwal"
